NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals,Participation Count
AFG,Athletics,0,0,26,0,0,26
AFG,Boxing,0,0,5,0,0,5
AFG,Cycling Road,0,0,3,0,0,3
AFG,Football,0,0,11,0,0,11
AFG,Hockey,0,0,39,0,0,39
AFG,Judo,0,0,4,0,0,4
AFG,Shooting,0,0,1,0,0,1
AFG,Swimming,0,0,2,0,0,2
AFG,Taekwondo,2,0,3,0,2,5
AFG,Wrestling,0,0,42,0,0,42
AHO,Athletics,0,0,14,0,0,14
AHO,Equestrianism,0,0,2,0,0,2
AHO,Fencing,0,0,4,0,0,4
AHO,Football,0,0,11,0,0,11
AHO,Judo,0,0,3,0,0,3
AHO,Sailing,0,0,5,1,1,6
AHO,Shooting,0,0,7,0,0,7
AHO,Swimming,0,0,11,0,0,11
AHO,Synchronized Swimming,0,0,4,0,0,4
AHO,Triathlon,0,0,1,0,0,1
AHO,Weightlifting,0,0,11,0,0,11
AIN,Canoe Sprint,0,0,6,0,0,6
AIN,Cycling Road,0,0,7,0,0,7
AIN,Rowing,0,0,1,1,1,2
AIN,Shooting,0,0,2,0,0,2
AIN,Swimming,0,0,7,0,0,7
AIN,Taekwondo,0,0,1,0,0,1
AIN,Tennis,0,0,12,2,2,14
AIN,Trampoline Gymnastics,0,1,1,1,2,3
AIN,Weightlifting,1,0,1,0,1,2
AIN,Wrestling,0,0,2,0,0,2
ALB,Artistic Gymnastics,0,0,1,0,0,1
ALB,Athletics,0,0,16,0,0,16
ALB,Cycling,0,0,1,0,0,1
ALB,Judo,0,0,3,0,0,3
ALB,Shooting,0,0,20,0,0,20
ALB,Swimming,0,0,15,0,0,15
ALB,Weightlifting,0,0,19,0,0,19
ALB,Wrestling,2,0,5,0,2,7
ALG,Artistic Gymnastics,0,1,5,0,1,6
ALG,Athletics,3,4,142,3,10,152
ALG,Badminton,0,0,3,0,0,3
ALG,Boxing,5,2,75,0,7,82
ALG,Canoe Slalom,0,0,2,0,0,2
ALG,Canoe Sprint,0,0,2,0,0,2
ALG,Cycling,0,0,6,0,0,6
ALG,Cycling Road,0,0,5,0,0,5
ALG,Fencing,0,0,33,0,0,33
ALG,Football,0,0,32,0,0,32
ALG,Gymnastics,0,0,24,0,0,24
ALG,Handball,0,0,59,0,0,59
ALG,Judo,1,0,55,1,2,57
ALG,Karate,0,0,1,0,0,1
ALG,Marathon Swimming,0,0,1,0,0,1
ALG,Rowing,0,0,14,0,0,14
ALG,Sailing,0,0,6,0,0,6
ALG,Shooting,0,0,6,0,0,6
ALG,Swimming,0,0,44,0,0,44
ALG,Table Tennis,0,0,13,0,0,13
ALG,Taekwondo,0,0,1,0,0,1
ALG,Tennis,0,0,2,0,0,2
ALG,Trampolining,0,0,1,0,0,1
ALG,Volleyball,0,0,31,0,0,31
ALG,Weightlifting,0,0,21,0,0,21
ALG,Wrestling,0,0,35,0,0,35
AND,Athletics,0,0,15,0,0,15
AND,Boxing,0,0,1,0,0,1
AND,Canoe Slalom,0,0,5,0,0,5
AND,Canoeing,0,0,1,0,0,1
AND,Cycling,0,0,5,0,0,5
AND,Judo,0,0,6,0,0,6
AND,Sailing,0,0,5,0,0,5
